Bairro,Votos Absolutos,% de Votos,Votos Absolutos Normalizados,% de Votos Normalizados,Indice de Votação,LATITUDE,LONGITUDE
TIJUCA,5658,0.0492,0.7162932016710976,0.9590643274853802,0.8376787645782389,-22.9247351,-43.2327165
CAMPO GRANDE,7899,0.0341,1.0,0.6647173489278753,0.8323586744639376,-22.902953,-43.5591295
COPACABANA,3948,0.0424,0.4998101025446259,0.8265107212475634,0.6631604118960946,-22.971974,-43.1842997
MEIER,2088,0.0502,0.2643372578807444,0.9785575048732944,0.6214473813770194,-22.90173,-43.2797093
BARRA,3416,0.0414,0.4324598050386125,0.8070175438596492,0.6197386744491309,,
TAQUARA,3298,0.0401,0.4175212052158501,0.7816764132553606,0.5995988092356054,-22.9218864,-43.384646
FREGUESIA JPA,2072,0.0469,0.26231168502342067,0.9142300194931774,0.588270852258299,,
VILA ISABEL,2020,0.0472,0.2557285732371186,0.9200779727095517,0.5879032729733351,-22.9166993,-43.2508354
BOTAFOGO,2155,0.0455,0.27281934422078746,0.8869395711500975,0.5798794576854425,-22.9515096,-43.1862969
GRAJAÚ,1212,0.0493,0.15343714394227118,0.9610136452241715,0.5572253945832214,-22.9225217,-43.2645145
TODOS OS SANTOS,946,0.0494,0.11976199518926446,0.962962962962963,0.5413624790761138,-22.894563,-43.28506
FLAMENGO,1125,0.0474,0.1424230915305735,0.9239766081871345,0.5331998498588539,-22.9339841,-43.1745744
VILA DA PENHA,1170,0.0469,0.14812001519179643,0.9142300194931774,0.531175017342487,-22.8435065,-43.3100585
RIO COMPRIDO,1183,0.0466,0.14976579313837193,0.9083820662768032,0.5290739297075876,-22.9279449,-43.2088566
RECREIO,1905,0.0417,0.24116976832510445,0.8128654970760234,0.5270176327005639,-22.51201,-41.9236578
LARANJEIRAS,1384,0.0447,0.17521205215850108,0.8713450292397661,0.5232785406991336,-22.9343173,-43.1878165
REALENGO,3319,0.032,0.4201797695910875,0.6237816764132554,0.5219807230021715,-22.8772743,-43.4301032
SANTA CRUZ,3790,0.0289,0.4798075705785542,0.5633528265107213,0.5215801985446378,-22.9176248,-43.6834907
MARACANÃ,670,0.049,0.08482086340043044,0.9551656920077973,0.5199932777041139,-22.912161949999998,-43.23118606002972
ANDARAÍ,1062,0.0458,0.13444739840486136,0.8927875243664718,0.5136174613856666,-22.9290845,-43.2534858
CATETE,1091,0.0456,0.1381187492087606,0.888888888888889,0.5135038190488248,-22.9269199,-43.1802186
JARDIM GUANABARA,963,0.0463,0.12191416635017091,0.9025341130604289,0.5122241397052999,-22.8128362,-43.2007792
BANGU,3165,0.0316,0.40068363083934677,0.6159844054580897,0.5083340181487183,-22.8753053,-43.4648805
ABOLIÇÃO,124,0.0513,0.015698189644258766,1.0,0.5078490948221294,-22.8861614,-43.2998457
IRAJÁ,2183,0.0377,0.27636409672110396,0.7348927875243665,0.5056284421227353,-22.8351129,-43.3233619
ENGENHO DE DENTRO,1237,0.0433,0.15660210153183948,0.8440545808966862,0.5003283412142628,-22.9026591,-43.2967757
ROCHA,481,0.0474,0.06089378402329409,0.9239766081871345,0.49243519610521425,-22.8995624,-43.2488072
ENCANTADO,361,0.0475,0.04570198759336625,0.9259259259259259,0.4858139567596461,-22.8974743,-43.3042461
CENTRO,990,0.0433,0.12533232054690469,0.8440545808966862,0.4846934507217954,-22.2800004,-42.5325303
SÃO CRISTÓVÃO,1089,0.0426,0.13786555260159514,0.8304093567251462,0.48413745466337066,-22.899318,-43.2219346
OLARIA,1425,0.0396,0.18040258260539307,0.7719298245614036,0.47616620358339834,-22.8484866,-43.2706124
PECHINCHA,802,0.0435,0.10153183947335105,0.847953216374269,0.47474252792381005,-22.928988,-43.3534191
CIDADE NOVA,207,0.0471,0.026205848841625523,0.9181286549707603,0.4721672519061929,-22.9100508,-43.201756
PIEDADE,1164,0.0401,0.14736042537030003,0.7816764132553606,0.46451841931283033,-22.8926665,-43.3110001
LEBLON,1179,0.0399,0.14925939992404103,0.7777777777777778,0.4635185888509094,-22.9834608,-43.2249656
PRAÇA SECA,1468,0.038,0.18584630965945056,0.7407407407407407,0.46329352520009565,-22.8992621,-43.3527794
ZUMBI,262,0.0458,0.03316875553867578,0.8927875243664718,0.4629781399525738,-22.8212784,-43.1758609
SÃO JORGE,34,0.0471,0.004304342321812888,0.9181286549707603,0.4612164986462866,-22.2269571,-42.527204410234745
BONSUCESSO,2205,0.033,0.279149259399924,0.6432748538011697,0.46121205660054687,-22.8659317,-43.253318
BAIRRO DE FÁTIMA,343,0.045,0.043423218128877075,0.8771929824561403,0.4603081002925087,-21.651573,-41.0565439
CACHAMBI,973,0.0409,0.12318014938599822,0.797270955165692,0.4602255522758451,-22.8897728,-43.2743347
IPANEMA,1027,0.0404,0.13001645777946574,0.7875243664717348,0.4587704121256003,-22.9839557,-43.2022163
ENGENHO NOVO,954,0.0405,0.12077478161792632,0.7894736842105263,0.4551242329142263,-22.9090942,-43.2678381
CURICICA,1431,0.0374,0.18116217242688948,0.7290448343079923,0.4551035033674409,-22.9519909,-43.3872901
CASCADURA,932,0.0406,0.11798961893910621,0.7914230019493177,0.45470631044421195,-22.8841816,-43.3283969
ANIL,883,0.0409,0.11178630206355235,0.797270955165692,0.4545286286146222,-22.9558133,-43.3384123
GLÓRIA,104,0.0453,0.013166223572604127,0.8830409356725146,0.44810357962255937,-22.9183225,-43.1739232
ÁGUA SANTA,266,0.0442,0.03367514875300671,0.861598440545809,0.44763679464940787,-22.9111428,-43.3121258
QUINTINO BOCAIUVA,730,0.0411,0.09241676161539436,0.8011695906432749,0.4467931761293346,-22.8955889,-43.3253269
RIO DAS PEDRAS,1150,0.0381,0.14558804912014178,0.7426900584795322,0.444139053799837,-22.9756211,-43.3352709
VILA VALQUEIRE,871,0.0398,0.11026712242055957,0.7758284600389864,0.443047791229773,-22.8886093,-43.3657758
JARDIM BANGU,292,0.0434,0.03696670464615774,0.8460038986354776,0.4414853016408177,-22.8518559,-43.4636736
RAMOS,1770,0.0338,0.22407899734143563,0.6588693957115009,0.4414741965264683,-22.8519758,-43.2555693
HUMAITÁ,424,0.0424,0.053677680719078365,0.8265107212475634,0.4400942009833209,-22.9546413,-43.2004797
SÃO CONRADO,1125,0.0378,0.1424230915305735,0.736842105263158,0.43963259839686575,-22.9913592,-43.2675329
MADUREIRA,1083,0.038,0.13710596278009873,0.7407407407407407,0.43892335176041974,-22.871658,-43.3371976
PORTUGUESA,532,0.0414,0.06735029750601342,0.8070175438596492,0.4371839206828313,-22.7999597,-43.2068169
ITANHANGÁ,536,0.0412,0.06785669072034435,0.8031189083820663,0.43548779955120537,-22.9870911,-43.3049379
HIGIENÓPOLIS,712,0.0397,0.09013799215090518,0.7738791423001949,0.43200856722555003,-22.873999,-43.2613682
LAGOA,439,0.0413,0.055576655272819346,0.8050682261208578,0.43032244069683856,-22.9624658,-43.2024884
ALTO DA BOA VISTA,203,0.0426,0.025699455627294594,0.8304093567251462,0.42805440617622037,-22.9621126,-43.2535816
RIACHUELO,218,0.0425,0.027598430181035576,0.8284600389863549,0.42802923458369524,-22.9026953,-43.255175
BRÁS DE PINA,904,0.038,0.11444486643878972,0.7407407407407407,0.4275928035897652,-22.831888,-43.2977309
CAMORIM,517,0.0405,0.06545132295227243,0.7894736842105263,0.42746250358139937,-22.9711394,-43.4311836
GÁVEA,806,0.0386,0.10203823268768199,0.7524366471734893,0.42723743993058566,-22.9814243,-43.2383245
PADRE MIGUEL,1624,0.0331,0.20559564501835675,0.645224171539961,0.4254099082791589,-22.8788135,-43.4485569
PILARES,548,0.04,0.06937587036333713,0.7797270955165693,0.4245514829399532,-22.8790904,-43.2955477
LINS DE VASCONCELOS,465,0.0403,0.05886821116597037,0.7855750487329436,0.422221629949457,-22.9140512,-43.2843528
CATUMBI,339,0.0411,0.042916824914546146,0.8011695906432749,0.4220432077789105,-22.9194542,-43.1970806
VAZ LOBO,808,0.038,0.10229142929484746,0.7407407407407407,0.4215160850177941,-22.8589721,-43.3278646
PAVUNA,1426,0.0337,0.18052918090897582,0.6569200779727096,0.4187246294408427,-22.8121927,-43.3592811
MONERÓ,248,0.0413,0.03139637928851753,0.8050682261208578,0.4182323027046877,-22.7964947,-43.197406
VILA KOSMOS,401,0.0403,0.050765919736675526,0.7855750487329436,0.41817048423480957,-22.853597,-43.3032021
SÃO FRANCISCO XAVIER,92,0.0423,0.011647043929611344,0.8245614035087719,0.41810422371919165,-22.9047617,-43.2440314
PENHA,1560,0.0327,0.1974933535890619,0.6374269005847953,0.4174601270869286,-22.8381127,-43.2764454
URCA,286,0.0409,0.03620711482466135,0.797270955165692,0.41673903499517667,-22.954074,-43.1679727
GUARATIBA,1280,0.0341,0.16204582858589694,0.6647173489278753,0.41338158875688613,-22.9905839,-43.584923
LEME,342,0.0401,0.04329661982529434,0.7816764132553606,0.4124865165403275,-22.961704,-43.1669042
JARDIM BOTÂNICO,433,0.0395,0.05481706545132295,0.7699805068226121,0.4123987861369675,-22.9636362,-43.2233457
ANCHIETA,1309,0.0338,0.1657171793897962,0.6588693957115009,0.41229328755064854,-22.8231903,-43.3991069
ROCHA MIRANDA,1035,0.0354,0.13102924420812762,0.6900584795321638,0.4105438618701457,-22.8503472,-43.3463053
VISTA ALEGRE,393,0.0395,0.049753133308013675,0.7699805068226121,0.4098668200653129,-22.8296244,-43.3151276
CAMPINHO,212,0.0406,0.026838840359539182,0.7914230019493177,0.40913092115442845,-22.8852187,-43.347738
DEL CASTILHO,688,0.0375,0.0870996328649196,0.7309941520467836,0.40904689245585163,-22.8795618,-43.2724202
CAVALCANTI,425,0.0392,0.0538042790226611,0.7641325536062378,0.4089684163144494,-22.8705266,-43.3165261
TOMÁS COELHO,282,0.0401,0.03570072161033042,0.7816764132553606,0.40868856743284554,-22.8676979,-43.3060881
CORDOVIL,771,0.0367,0.09760729206228637,0.7153996101364524,0.40650345109936936,-22.8194378,-43.2915908
INHAUMA,1142,0.0342,0.14457526269147994,0.6666666666666667,0.4056209646790733,-22.8715476,-43.2823466
TANQUE,875,0.0359,0.11077351563489049,0.6998050682261209,0.40528929193050567,-22.9151927,-43.3557471
PENHA CIRCULAR,907,0.0356,0.11482466134953792,0.6939571150097466,0.40439088817964225,-22.8326425,-43.2842228
LAPA,152,0.0405,0.019242942144575264,0.7894736842105263,0.4043583131775508,-22.9130257,-43.1822358
BARRA DA TIJUCA,39,0.0412,0.004937333839726547,0.8031189083820663,0.4040281211108964,-22.9997404,-43.3659929
MARECHAL HERMES,976,0.0349,0.12355994429674642,0.6803118908382066,0.40193591756747654,-22.8599658,-43.3704561
GARDENIA AZUL,275,0.0393,0.0348145334852513,0.7660818713450293,0.4004482024151403,-22.9582866,-43.3512241
GUADALUPE,1026,0.0343,0.12988985947588302,0.6686159844054581,0.3992529219406706,-22.8376208,-43.3751608
COCOTÁ,528,0.0371,0.0668439042916825,0.723196881091618,0.39502039269165024,-22.8050047,-43.1805463
ESTÁCIO,235,0.0386,0.029750601341942018,0.7524366471734893,0.39109362425771566,-22.9166265,-43.20363
BENTO RIBEIRO,781,0.035,0.09887327509811368,0.6822612085769981,0.3905672418375559,-22.8666607,-43.3608367
JACARÉ,595,0.0362,0.07532599063172553,0.7056530214424952,0.39048950603711036,-22.8931174,-43.2571998
RIBEIRA,158,0.0385,0.020002531966071654,0.7504873294346979,0.38524493070038474,-22.8252399,-43.1705907
SANTA TERESA,509,0.036,0.06443853652361059,0.7017543859649122,0.38309646124426144,-22.9215542,-43.1860269
SANTÍSSIMO,958,0.0329,0.12128117483225724,0.6413255360623782,0.3813033554473177,-22.8751928,-43.5198512
VICENTE DE CARVALHO,540,0.0356,0.06836308393467527,0.6939571150097466,0.3811600994722109,-22.8571804,-43.3157892
TAUÁ,380,0.0365,0.048107355361438155,0.7115009746588694,0.3798041650101538,-22.7977495,-43.1867478
JARDIM AMÉRICA,738,0.034,0.0934295480440562,0.6627680311890839,0.37809878961657006,-22.810005,-43.323212
MARIA DA GRAÇA,182,0.0376,0.023040891252057223,0.7329434697855751,0.37799218051881617,-22.8830403,-43.2638849
JARDIM SULACAP,241,0.0372,0.03051019116343841,0.7251461988304093,0.3778281949969239,-22.8956799,-43.3929967
FREGUESIA (ILHA DO GOVERNADOR),407,0.036,0.05152550955817192,0.7017543859649122,0.3766399477615421,,
BENFICA,696,0.0339,0.08811241929358146,0.6608187134502924,0.37446556637193695,-22.8922965,-43.240341
CAJU,388,0.0359,0.04912014179010001,0.6998050682261209,0.37446260500811046,-22.8803063,-43.2214936
SENADOR CAMARÁ,1256,0.0302,0.15900746929991139,0.5886939571150098,0.3738507132074606,-22.888752,-43.4913887
SAUDE,201,0.0366,0.02544625902012913,0.7134502923976609,0.369448275708895,-22.8971835,-43.1841545
VARGEM PEQUENA,315,0.0357,0.03987846562856058,0.695906432748538,0.3678924491885493,-22.9818187,-43.4578117
TURIAÇÚ,284,0.0358,0.035953918217495884,0.6978557504873294,0.3669048343524126,-22.8616631,-43.3418026
PACIENCIA,1226,0.0296,0.15520952019242942,0.5769980506822613,0.36610378543734534,-22.8987,-43.6369556
VIDIGAL,284,0.0356,0.035953918217495884,0.6939571150097466,0.36495551661362124,-22.9952094,-43.2408556
COSME VELHO,206,0.0361,0.02607925053804279,0.7037037037037037,0.3648914771208733,-22.9415143,-43.2006244
SANTO CRISTO,232,0.0359,0.029370806431193823,0.6998050682261209,0.36458793732865735,-22.9007657,-43.2033933
OSWALDO CRUZ,629,0.033,0.07963033295353843,0.6432748538011697,0.361452593377354,-22.8705266,-43.350194
ENGENHO DA RAINHA,458,0.0341,0.05798202304089125,0.6647173489278753,0.3613496859843833,-22.8626496,-43.2937874
VIGÁRIO GERAL,398,0.0344,0.05038612482592733,0.6705653021442496,0.36047571348508844,-22.8095333,-43.3097039
SENADOR VASCONCELOS,392,0.0343,0.04962653500443094,0.6686159844054581,0.3591212597049445,-22.8953684,-43.5288566
PEDRA DE GUARATIBA,703,0.0321,0.08899860741866059,0.6257309941520467,0.35736480078535365,-22.9983546,-43.6388666
TRIAGEM,208,0.0353,0.026332447145208254,0.6881091617933723,0.3572208044692903,-22.8967174,-43.2440972
PAQUETÁ,75,0.0357,0.0094948727687049,0.695906432748538,0.35270065275862145,-22.7589261,-43.1091992
VARGEM GRANDE,322,0.0334,0.040764653753639704,0.6510721247563352,0.34591838925498747,-22.9707911,-43.4968914
GUARABU,223,0.0339,0.028231421698949235,0.6608187134502924,0.3445250675746208,-22.8088833,-43.1941802
MAGALHÃES BASTOS,646,0.0306,0.08178250411444486,0.5964912280701754,0.33913686609231014,-22.8725117,-43.4136384
VILA KENNEDY,853,0.0292,0.10798835295607039,0.5692007797270955,0.3385945663415829,-22.855678,-43.49003
CACUIA,312,0.0327,0.03949867071781238,0.6374269005847953,0.33846278565130383,-22.8217028,-43.1837917
SEPETIBA,750,0.0297,0.094948727687049,0.5789473684210527,0.3369480480540508,-22.9679803,-43.6940872
INHOAÍBA,776,0.0293,0.09824028358020002,0.571150097465887,0.3346951905230435,-22.9131775,-43.5932975
COSMOS,693,0.0298,0.08773262438283327,0.580896686159844,0.33431465527133863,-22.9078051,-43.6144915
COLÉGIO,420,0.0312,0.053171287504747436,0.6081871345029239,0.3306792110038357,-22.83979,-43.3357623
COELHO NETO,504,0.0306,0.06380554500569692,0.5964912280701754,0.33014838653793616,-22.8322449,-43.3501913
RICARDO DE ALBUQUERQUE,576,0.03,0.07292062286365363,0.5847953216374269,0.32885797225054025,-22.836698650000002,-43.391675746418954
PARQUE COLÚMBIA,180,0.0324,0.02278769464489176,0.631578947368421,0.32718332100665637,-22.8138907,-43.3424983
GALEÃO,344,0.0311,0.0435498164324598,0.6062378167641326,0.3248938165982962,-22.8075065,-43.2355215
CIDADE DE DEUS,739,0.0284,0.09355614634763894,0.5536062378167642,0.3235811920822016,-22.94803,-43.362903
HONÓRIO GURGEL,462,0.0301,0.05848841625522218,0.5867446393762183,0.32261652781572026,-22.8465751,-43.3561294
PARQUE ANCHIETA,60,0.0327,0.007595898214963919,0.6374269005847953,0.3225113993998796,-22.8351687,-43.4155827
ENGENHEIRO LEAL,20,0.0328,0.0025319660716546398,0.6393762183235868,0.3209540921976207,-22.8743923,-43.3255315
AUGUSTO VASCONCELOS,164,0.0313,0.020762121787568047,0.6101364522417154,0.31544928701464175,-22.8930412,-43.5373957
TUBIACANGA,30,0.0316,0.0037979491074819596,0.6159844054580897,0.30989117728278587,-22.7855214,-43.2265169
ROCINHA,20,0.0314,0.0025319660716546398,0.6120857699805068,0.3073088680260807,-22.9885204,-43.2482058
COSTA BARROS,438,0.0284,0.05545005696923661,0.5536062378167642,0.30452814739300044,-22.8246995,-43.3698395
PARADA DE LUCAS,407,0.0286,0.05152550955817192,0.5575048732943471,0.3045151914262595,-22.8167023,-43.3012102
DEODORO,338,0.0285,0.04279022661096341,0.5555555555555556,0.2991728910832595,-22.851201,-43.3870315
BANCÁRIOS,180,0.0295,0.02278769464489176,0.5750487329434698,0.29891821379418076,-22.7917588,-43.180966
DENDE,66,0.0301,0.008355488036460312,0.5867446393762183,0.29755006370633935,-22.8016721,-43.1902905
ILHA DE GUARATIBA,246,0.0286,0.03114318268135207,0.5575048732943471,0.29432402798784957,-23.0048833,-43.5402344
ACARI,165,0.0291,0.020888720091150777,0.5672514619883041,0.2940700910397274,-22.8221528,-43.3406743
CAMPO DOS AFONSOS,68,0.0288,0.008608684643625776,0.5614035087719298,0.28500609670777777,-22.8795186,-43.3803636
MANGUEIRA,127,0.0283,0.016077984555006964,0.5516569200779727,0.28386745231648985,-22.903945,-43.2361967
NOVA SEPETIBA,111,0.0279,0.01405241169768325,0.543859649122807,0.27895603041024514,-22.9561013,-43.6876488
BARROS FILHO,107,0.0272,0.013546018483352323,0.530214424951267,0.2718802217173097,-22.8348857,-43.3631878
BARRA DE GUARATIBA,101,0.0259,0.012786428661855932,0.5048732943469786,0.2588298615044173,-23.0360036,-43.5521395
MANGUINHOS,44,0.0242,0.0055703253576402075,0.47173489278752434,0.23865260907258226,-22.8799736,-43.2457223
FUNDÃO,23,0.0214,0.002911760982402836,0.4171539961013645,0.21003287854188366,-22.8533498,-43.233170287422354
VILA MILITAR,21,0.0201,0.002658564375237372,0.39181286549707606,0.19723571493615671,-22.860348,-43.4028933
